# Geometria del corredor Tijuana-Tecate, para JTT-1395.
# Origen: 200217-IT-B Larguillo ITS Tijuana - Tecate.kmz, entregado por el lider el 20-ago-2026.
# Traza de 724 vertices, anclada a las 29 paletas de kilometraje PK 120..148 del mismo archivo.
# Cubre del PK 120.764 al PK 147.716. Fuera de ese tramo no hay geometria.
# Formato: longitud;latitud;metros   (metros = punto kilometrico normalizado, CA 8)
-116.6024039;32.5547288;120764
-116.6027920;32.5548657;120803
-116.6032388;32.5550169;120849
-116.6036752;32.5551789;120894
-116.6039197;32.5552639;120919
-116.6041008;32.5553119;120937
-116.6042515;32.5553502;120952
-116.6044496;32.5553961;120971
-116.6046561;32.5554265;120991
-116.6048689;32.5554435;121011
-116.6051104;32.5554585;121034
-116.6053007;32.5554489;121052
-116.6054321;32.5554431;121064
-116.6056491;32.5554183;121085
-116.6058842;32.5553802;121107
-116.6063448;32.5553135;121152
-116.6066861;32.5552564;121184
-116.6070921;32.5552107;121223
-116.6076215;32.5551332;121274
-116.6079367;32.5550957;121304
-116.6083095;32.5550418;121339
-116.6088878;32.5549738;121395
-116.6095972;32.5548627;121463
-116.6100809;32.5548028;121509
-116.6113812;32.5546197;121633
-116.6118537;32.5545570;121678
-116.6122870;32.5544903;121720
-116.6125439;32.5544508;121744
-116.6128928;32.5543607;121779
-116.6131066;32.5543065;121800
-116.6133632;32.5542020;121827
-116.6136113;32.5540992;121853
-116.6138383;32.5539746;121878
-116.6140851;32.5538605;121905
-116.6142274;32.5537660;121922
-116.6146232;32.5535444;121967
-116.6149009;32.5533936;121998
-116.6151401;32.5532592;122025
-116.6153124;32.5531667;122044
-116.6162172;32.5526634;122145
-116.6162623;32.5526399;122150
-116.6163971;32.5525605;122166
-116.6165486;32.5524850;122182
-116.6166930;32.5524079;122198
-116.6168204;32.5523632;122211
-116.6169433;32.5523114;122224
-116.6170403;32.5522670;122234
-116.6174040;32.5521336;122271
-116.6176943;32.5520516;122300
-116.6180495;32.5519590;122334
-116.6182250;32.5519252;122351
-116.6184411;32.5518825;122372
-116.6186249;32.5518610;122389
-116.6189082;32.5518215;122416
-116.6191920;32.5517749;122443
-116.6194469;32.5517440;122467
-116.6196862;32.5517383;122489
-116.6199125;32.5517593;122511
-116.6201254;32.5517481;122531
-116.6205627;32.5517040;122572
-116.6208025;32.5516798;122594
-116.6213194;32.5516232;122643
-116.6215719;32.5515885;122667
-116.6217900;32.5515500;122688
-116.6219200;32.5515300;122700
-116.6221200;32.5515000;122719
-116.6222800;32.5514900;122734
-116.6224100;32.5514800;122746
-116.6225500;32.5514900;122759
-116.6229500;32.5515400;122797
-116.6231600;32.5515700;122817
-116.6232400;32.5515800;122825
-116.6232700;32.5515800;122827
-116.6233000;32.5515800;122830
-116.6233400;32.5515800;122834
-116.6233900;32.5515700;122839
-116.6235300;32.5515400;122852
-116.6238900;32.5513800;122890
-116.6242100;32.5512800;122922
-116.6244300;32.5512400;122943
-116.6245000;32.5511800;122952
-116.6254000;32.5511500;123037
-116.6257400;32.5511500;123068
-116.6266500;32.5511600;123154
-116.6279900;32.5511500;123279
-116.6283900;32.5511600;123317
-116.6298900;32.5511700;123458
-116.6305200;32.5511600;123517
-116.6309700;32.5511200;123559
-116.6317100;32.5510500;123629
-116.6321800;32.5509900;123673
-116.6328100;32.5508800;123734
-116.6330700;32.5508300;123759
-116.6352300;32.5504500;123966
-116.6359900;32.5503000;124039
-116.6364100;32.5502300;124079
-116.6365100;32.5502000;124089
-116.6369600;32.5501000;124133
-116.6372600;32.5500100;124163
-116.6376100;32.5499100;124198
-116.6379500;32.5497800;124233
-116.6383600;32.5496100;124276
-116.6389200;32.5493400;124336
-116.6396500;32.5490000;124415
-116.6398300;32.5489000;124435
-116.6400100;32.5488100;124455
-116.6402600;32.5486900;124482
-116.6407800;32.5484400;124538
-116.6413400;32.5482400;124595
-116.6415300;32.5481700;124615
-116.6417600;32.5481100;124637
-116.6423900;32.5479800;124698
-116.6427300;32.5479400;124731
-116.6427800;32.5479400;124735
-116.6429700;32.5479200;124753
-116.6430500;32.5479100;124761
-116.6438700;32.5478800;124838
-116.6442800;32.5478700;124877
-116.6467800;32.5478200;125112
-116.6469900;32.5478200;125131
-116.6474300;32.5478100;125173
-116.6499800;32.5477400;125413
-116.6501900;32.5477300;125433
-116.6516800;32.5477000;125573
-116.6519000;32.5477000;125594
-116.6526800;32.5476800;125667
-116.6527500;32.5476800;125674
-116.6545100;32.5476200;125839
-116.6552900;32.5475500;125913
-116.6555200;32.5475300;125935
-116.6560400;32.5474800;125984
-116.6571700;32.5473600;126092
-116.6588900;32.5471900;126255
-116.6591100;32.5471600;126276
-116.6596300;32.5471100;126325
-116.6611800;32.5469500;126472
-116.6632900;32.5467200;126673
-116.6635100;32.5466900;126694
-116.6637200;32.5466700;126714
-116.6653700;32.5464900;126871
-116.6664500;32.5463100;126974
-116.6664600;32.5463100;126975
-116.6666600;32.5462700;126995
-116.6671100;32.5461800;127038
-116.6682200;32.5459000;127147
-116.6684200;32.5458500;127166
